昵称,是否认证,是否会员,性别,地区,微博数,关注数,粉丝数,分组数
齐齐哈尔市人民检察院,1,1,男,黑龙,19492,736,2658,2
中国消费者报,1,1,男,北京,23804,411,172589,1
东西湖发布,1,1,男,湖北,49092,567,135074,2
吉林日报,1,0,男,吉林,91379,800,1066188,1
吉视守望都市,1,1,男,吉林,12672,65,1831389,1
成都反邪教,1,0,男,四川,9509,543,24211,6
福建广播电视新闻中心,1,1,男,福建,77425,422,1082277,1
虎座鸟,1,1,男,湖北,11484,608,511770,1
扬州网官方微博,1,0,男,江苏,71360,1971,268008,1
吉视公共新闻频道,1,1,男,吉林,25099,409,168180,1
京山检察院,1,0,男,湖北,35917,172,786,1
西安新闻网,1,0,男,陕西,65030,86,176342,1
广西卫视,1,1,男,广西,38549,1901,659153,1
江苏市场监管,1,0,男,江苏,9285,245,70981,1
中華火車迷部落,0,1,男,北京,26307,2703,149367,2
贵阳交通广播,1,1,男,贵州,167960,899,619633,1
四川省德阳监狱,1,1,男,四川,17403,1969,2512,1
吉林乡村广播,1,0,女,吉林,82383,640,255814,1
BJTV图说宝鸡,1,0,女,陕西,49936,302,11569,1
漯河日报,1,0,男,河南,11004,112,36086,1
西夏分局文昌路派出所,1,0,女,宁夏,6155,106,190,1
昌吉日报社,1,0,女,新疆,1164,241,1131,1
菏泽日报,1,1,男,山东,15132,397,9819,2
辣椒军事,1,1,男,北京,18050,96,1230281,1
BOOM视频,1,1,男,北京,10249,102,1033826,1
军迷圈官微,0,1,男,北京,10562,241,7566,1
新浪军事,1,1,男,北京,121767,922,23231905,2
忠厚老实,1,1,女,北京,26982,20000,10075260,1
安康政法,1,1,男,陕西,29841,3834,44741,1
热带播报,1,1,男,海南,17418,531,1364156,4
宜宾发布,1,1,男,四川,43236,719,323320,2
西部网,1,1,男,陕西,177772,866,2270916,7
钟山清风,1,1,男,江苏,44062,864,2362930,2
碳烤万洋,0,1,男,其他,2547,1518,2664,1
宪法守护者,1,1,男,北京,11287,2695,20905,1
北仑检察,1,0,女,浙江,16233,348,1393,1
鄂尔多斯日报,1,1,男,内蒙,39835,740,282383,2
太原铁路,1,1,女,山西,60935,679,1284709,2
陕视新闻,1,1,男,陕西,118788,1270,4179343,3
第一新闻,1,1,女,陕西,139589,1373,4213773,3
云黔南,1,1,男,贵州,6630,98,25048,1
池州学院法学院青协,1,0,女,安徽,657,218,244,1
北部湾在线,1,1,男,广西,46532,299,638156,2
贵阳新闻网,1,0,男,贵州,53434,1754,1256978,2
农民频道,1,0,男,河北,13850,567,1800221,1
新消息报,1,1,男,宁夏,20727,3212,5828442,1
河南交通广播,1,1,男,河南,110289,1707,6785781,1
武山融媒,1,0,男,甘肃,11684,266,110978,1
津彩生活,1,1,男,香港,84563,2250,267475,1
平安河东,1,0,男,天津,34127,200,316739,2
微博孟村,1,0,男,河北,3392,143,2381,1
江西工业职业技术学院官微,1,1,男,江西,5850,306,4057,2
乐活阳泉,1,1,男,山西,15442,1259,556839,2
合阳检察,1,0,男,陕西,56485,163,18843,2
四川观察,1,1,男,四川,36789,565,3043133,1
移动手机报,1,1,男,浙江,19461,1579,1209719,2
